destination,duration_days,travelers,hotel_rating,transportation,season,activities_count,food_preference,travel_style,total_budget
Udaipur,6,5,1,Bus,Shoulder,8,Fine Dining,Budget,135760
Paris,10,3,3,Flight,Peak,2,Fine Dining,Luxury,1073520
Dubai,14,8,1,Flight,Peak,37,Fine Dining,Moderate,1603190
Varanasi,4,1,3,Car,Shoulder,2,Vegetarian,Moderate,19890
Bali,12,1,2,Flight,Peak,20,Vegetarian,Budget,125350
Singapore,8,4,5,Flight,Shoulder,15,Street Food,Moderate,1014260
Andaman,6,1,5,Car,Peak,7,Non-Veg,Moderate,185250
Kerala,5,3,5,Flight,Peak,7,Street Food,Luxury,399690
Ladakh,2,4,3,Train,Off-Peak,4,Vegetarian,Luxury,70090
Ladakh,14,4,4,Flight,Peak,42,Non-Veg,Moderate,757250
Manali,2,3,3,Train,Off-Peak,3,Street Food,Budget,22840
Ladakh,13,7,3,Train,Shoulder,29,Vegetarian,Luxury,914750
Andaman,13,6,5,Flight,Peak,15,Vegetarian,Luxury,2145860
Bali,2,3,4,Flight,Off-Peak,6,Street Food,Moderate,218270
Bali,8,8,1,Flight,Shoulder,12,Street Food,Moderate,715340
Manali,4,6,4,Train,Shoulder,11,Street Food,Luxury,230880
Manali,7,5,3,Flight,Shoulder,17,Vegetarian,Luxury,352980
Udaipur,8,1,2,Train,Off-Peak,16,Street Food,Budget,33550
Rishikesh,4,5,4,Bus,Shoulder,2,Vegetarian,Luxury,162830
Jaipur,13,3,3,Train,Off-Peak,27,Vegetarian,Budget,170490
Manali,9,2,2,Train,Off-Peak,10,Fine Dining,Moderate,98570
Udaipur,5,8,5,Flight,Peak,15,Non-Veg,Budget,575120
Singapore,8,6,5,Flight,Shoulder,1,Fine Dining,Luxury,1886920
Bali,11,8,2,Flight,Shoulder,31,Fine Dining,Moderate,1324200
Rishikesh,8,8,3,Bus,Off-Peak,8,Street Food,Budget,199840
Andaman,2,6,4,Train,Shoulder,4,Non-Veg,Moderate,111090
Kerala,10,6,1,Bus,Shoulder,4,Street Food,Budget,104780
Andaman,12,3,1,Train,Shoulder,22,Street Food,Luxury,249010
Varanasi,12,7,3,Train,Shoulder,35,Vegetarian,Luxury,540310
Dubai,12,5,2,Flight,Off-Peak,6,Street Food,Budget,411850
Paris,3,8,2,Flight,Off-Peak,5,Vegetarian,Budget,926280
Goa,6,6,3,Flight,Peak,17,Street Food,Luxury,397510
Kerala,4,3,1,Train,Shoulder,10,Non-Veg,Moderate,60330
Kerala,5,8,3,Train,Off-Peak,1,Street Food,Moderate,126050
Kerala,3,8,3,Car,Shoulder,7,Fine Dining,Moderate,196870
Jaipur,8,8,1,Flight,Off-Peak,12,Fine Dining,Luxury,524560
Dubai,8,5,1,Flight,Off-Peak,22,Vegetarian,Luxury,871840
Ladakh,14,4,5,Bus,Peak,41,Non-Veg,Luxury,1562630
Singapore,13,3,1,Flight,Off-Peak,3,Fine Dining,Moderate,361610
Varanasi,13,3,1,Car,Shoulder,27,Non-Veg,Budget,109100
Rishikesh,7,5,2,Flight,Shoulder,10,Fine Dining,Budget,212440
Manali,4,4,4,Car,Off-Peak,6,Vegetarian,Moderate,88520
Rishikesh,3,8,3,Train,Off-Peak,5,Street Food,Luxury,166390
Manali,12,4,4,Flight,Off-Peak,21,Non-Veg,Luxury,452050
Udaipur,13,5,4,Flight,Peak,3,Fine Dining,Moderate,710310
Jaipur,10,3,4,Train,Off-Peak,24,Street Food,Luxury,308880
Kerala,8,2,4,Train,Shoulder,2,Fine Dining,Budget,107740
Jaipur,7,2,3,Train,Off-Peak,12,Vegetarian,Moderate,56300
Manali,9,2,2,Train,Off-Peak,1,Vegetarian,Moderate,41250
Kerala,14,4,1,Bus,Off-Peak,14,Non-Veg,Budget,136450
Kerala,14,1,3,Bus,Peak,9,Fine Dining,Budget,109560
Goa,4,1,3,Bus,Peak,10,Fine Dining,Budget,33830
Goa,4,7,5,Flight,Peak,8,Street Food,Moderate,448190
Manali,9,4,5,Flight,Off-Peak,17,Fine Dining,Moderate,446960
Goa,2,8,4,Flight,Peak,4,Street Food,Budget,145920
Varanasi,11,3,1,Flight,Off-Peak,21,Street Food,Luxury,152110
Udaipur,10,7,1,Bus,Peak,28,Non-Veg,Moderate,367640
Jaipur,8,6,4,Flight,Off-Peak,4,Fine Dining,Moderate,358940
Ladakh,7,3,4,Flight,Peak,3,Street Food,Budget,202010
Varanasi,14,3,5,Flight,Off-Peak,36,Fine Dining,Luxury,738700
Varanasi,12,7,1,Car,Off-Peak,20,Fine Dining,Budget,343100
Jaipur,4,8,2,Bus,Shoulder,9,Fine Dining,Budget,170450
Bali,5,7,5,Flight,Off-Peak,10,Vegetarian,Luxury,1350410
Paris,6,1,2,Flight,Shoulder,10,Fine Dining,Moderate,185890
Kerala,11,7,1,Flight,Off-Peak,2,Vegetarian,Luxury,301120
Andaman,8,8,3,Flight,Shoulder,24,Fine Dining,Luxury,1089440
Goa,4,3,5,Flight,Peak,5,Street Food,Luxury,295600
Bali,9,7,3,Flight,Peak,25,Vegetarian,Moderate,1020300
Ladakh,12,8,5,Train,Peak,15,Street Food,Luxury,2212630
Jaipur,6,4,2,Bus,Shoulder,11,Vegetarian,Budget,75460
Andaman,4,3,4,Train,Peak,9,Fine Dining,Budget,149690
Paris,2,7,1,Flight,Shoulder,1,Fine Dining,Luxury,1258130
Andaman,13,7,3,Flight,Peak,21,Non-Veg,Luxury,1137860
Paris,7,2,4,Flight,Peak,8,Street Food,Luxury,660680
Manali,8,5,3,Flight,Peak,3,Vegetarian,Luxury,317070
Singapore,7,6,2,Flight,Peak,4,Non-Veg,Moderate,595060
Bali,4,2,2,Flight,Off-Peak,8,Street Food,Luxury,235440
Udaipur,12,6,3,Flight,Peak,31,Street Food,Luxury,724430
Ladakh,11,1,3,Train,Shoulder,30,Street Food,Budget,87640
Ladakh,3,2,5,Train,Shoulder,8,Vegetarian,Moderate,84870
Bali,12,4,3,Flight,Off-Peak,31,Non-Veg,Budget,528510
Singapore,7,2,5,Flight,Off-Peak,6,Vegetarian,Budget,308620
Udaipur,10,3,3,Flight,Shoulder,13,Street Food,Moderate,185670
Goa,14,6,1,Flight,Off-Peak,25,Fine Dining,Moderate,512380
Dubai,11,3,3,Flight,Peak,10,Fine Dining,Moderate,542040
Paris,12,7,2,Flight,Off-Peak,6,Fine Dining,Luxury,2029670
Singapore,7,3,5,Flight,Peak,21,Street Food,Luxury,1382690
Varanasi,6,3,2,Flight,Shoulder,7,Non-Veg,Budget,69180
Ladakh,14,2,5,Bus,Off-Peak,34,Vegetarian,Luxury,531620
Singapore,11,3,5,Flight,Shoulder,10,Non-Veg,Budget,949360
Singapore,11,3,4,Flight,Peak,27,Fine Dining,Luxury,1460200
Udaipur,11,5,4,Flight,Peak,20,Street Food,Budget,491290
Bali,9,8,3,Flight,Shoulder,17,Street Food,Budget,839410
Singapore,11,3,3,Flight,Peak,31,Fine Dining,Luxury,1189940
Paris,10,2,3,Flight,Peak,25,Non-Veg,Moderate,551280
Rishikesh,4,7,1,Car,Peak,8,Fine Dining,Budget,162580
Andaman,10,6,2,Flight,Peak,12,Non-Veg,Budget,310090
Manali,13,6,2,Flight,Shoulder,31,Non-Veg,Luxury,600240
Bali,2,2,1,Flight,Shoulder,2,Non-Veg,Luxury,195830
Bali,10,7,1,Flight,Shoulder,8,Fine Dining,Budget,628770
Andaman,12,8,1,Flight,Shoulder,35,Vegetarian,Luxury,1019310
Jaipur,13,3,3,Flight,Off-Peak,23,Non-Veg,Luxury,307820
Dubai,12,2,5,Flight,Shoulder,5,Vegetarian,Moderate,522110
Goa,12,7,3,Flight,Peak,23,Vegetarian,Moderate,551100
Dubai,12,2,5,Flight,Off-Peak,22,Non-Veg,Budget,435700
Varanasi,12,3,4,Car,Shoulder,12,Non-Veg,Budget,210810
Udaipur,2,5,2,Flight,Peak,1,Fine Dining,Moderate,93150
Rishikesh,9,5,1,Bus,Peak,10,Fine Dining,Budget,213570
Varanasi,6,2,3,Flight,Shoulder,15,Street Food,Moderate,65150
Udaipur,13,8,3,Car,Off-Peak,18,Vegetarian,Luxury,687880
Andaman,11,3,5,Flight,Peak,6,Fine Dining,Luxury,1121930
Udaipur,11,7,2,Train,Shoulder,29,Vegetarian,Luxury,626050
Varanasi,11,7,3,Train,Peak,5,Street Food,Moderate,289690
Paris,12,3,1,Flight,Peak,29,Vegetarian,Budget,622040
Singapore,12,6,3,Flight,Shoulder,3,Non-Veg,Luxury,1180150
Varanasi,7,8,1,Train,Off-Peak,12,Street Food,Moderate,139650
Jaipur,3,1,2,Train,Shoulder,9,Vegetarian,Moderate,17510
Paris,9,4,5,Flight,Shoulder,23,Street Food,Budget,1239990
Manali,9,3,4,Car,Off-Peak,11,Fine Dining,Luxury,321650
Rishikesh,6,5,2,Train,Off-Peak,6,Fine Dining,Luxury,234020
Jaipur,14,3,2,Bus,Peak,24,Fine Dining,Moderate,280580
Rishikesh,4,2,1,Flight,Off-Peak,12,Street Food,Luxury,77740
Andaman,11,2,2,Car,Off-Peak,5,Street Food,Moderate,70410
Varanasi,4,3,2,Flight,Peak,2,Non-Veg,Moderate,61340
Varanasi,13,4,3,Car,Off-Peak,19,Vegetarian,Moderate,174160
Rishikesh,6,3,3,Train,Peak,17,Non-Veg,Luxury,212900
Kerala,4,6,5,Flight,Peak,2,Vegetarian,Luxury,499140
Ladakh,12,4,5,Flight,Off-Peak,2,Street Food,Luxury,732230
Dubai,6,8,2,Flight,Off-Peak,13,Fine Dining,Moderate,802270
Goa,4,8,4,Train,Peak,6,Non-Veg,Moderate,267380
Varanasi,13,6,4,Flight,Shoulder,33,Vegetarian,Moderate,487220
Manali,6,8,2,Flight,Peak,10,Street Food,Luxury,352620
Kerala,7,6,2,Bus,Shoulder,17,Street Food,Moderate,186810
Udaipur,2,2,4,Train,Peak,2,Fine Dining,Budget,27870
Udaipur,11,8,3,Train,Peak,28,Non-Veg,Moderate,643170
Singapore,8,6,1,Flight,Shoulder,2,Non-Veg,Moderate,531250
Manali,8,8,5,Flight,Off-Peak,22,Vegetarian,Budget,627480
Andaman,7,6,5,Car,Peak,7,Street Food,Luxury,952450
Goa,4,6,4,Train,Peak,10,Non-Veg,Moderate,224860
Varanasi,4,7,5,Train,Shoulder,10,Fine Dining,Luxury,489810
Rishikesh,9,5,4,Bus,Shoulder,11,Vegetarian,Moderate,306900
Singapore,13,1,5,Flight,Shoulder,17,Non-Veg,Luxury,798820
Udaipur,4,7,2,Bus,Peak,1,Vegetarian,Budget,76070
Varanasi,8,3,4,Train,Shoulder,17,Street Food,Luxury,231550
Paris,4,4,5,Flight,Shoulder,11,Street Food,Luxury,1274280
Kerala,9,6,5,Flight,Off-Peak,22,Fine Dining,Luxury,1056260
Jaipur,6,5,2,Car,Shoulder,10,Non-Veg,Luxury,199080
Varanasi,9,6,5,Car,Off-Peak,9,Fine Dining,Budget,441750
Rishikesh,8,7,3,Car,Peak,10,Vegetarian,Moderate,320810
Manali,7,8,3,Train,Peak,7,Fine Dining,Luxury,559580
Kerala,3,4,2,Flight,Off-Peak,4,Non-Veg,Budget,61200
Varanasi,13,8,1,Train,Peak,1,Non-Veg,Moderate,247300
Udaipur,9,4,3,Flight,Off-Peak,2,Vegetarian,Luxury,218720
Rishikesh,13,1,2,Flight,Peak,3,Street Food,Moderate,55520
Paris,6,1,1,Flight,Shoulder,4,Fine Dining,Moderate,160710
Dubai,10,8,2,Flight,Off-Peak,15,Fine Dining,Budget,919660
Varanasi,4,8,3,Train,Peak,12,Fine Dining,Moderate,227120
Singapore,5,3,5,Flight,Off-Peak,15,Street Food,Moderate,567140
Manali,8,2,2,Car,Shoulder,11,Non-Veg,Budget,55070
Jaipur,9,5,3,Flight,Off-Peak,19,Vegetarian,Moderate,248390
Paris,5,1,1,Flight,Shoulder,5,Non-Veg,Moderate,153760
Paris,14,5,1,Flight,Off-Peak,19,Fine Dining,Luxury,1705680
Kerala,9,3,4,Train,Off-Peak,12,Street Food,Luxury,270450
Udaipur,14,4,2,Train,Off-Peak,6,Street Food,Luxury,211980
Manali,11,2,1,Bus,Off-Peak,13,Non-Veg,Budget,56520
Rishikesh,9,2,2,Train,Shoulder,3,Street Food,Budget,37930
Rishikesh,8,8,5,Flight,Shoulder,22,Fine Dining,Luxury,1262910
Ladakh,2,4,5,Flight,Shoulder,3,Vegetarian,Luxury,167110
Manali,9,1,3,Flight,Peak,25,Street Food,Moderate,86880
Andaman,9,7,4,Flight,Off-Peak,18,Non-Veg,Luxury,987570
Manali,4,7,5,Flight,Peak,1,Vegetarian,Moderate,380250
Paris,10,7,5,Flight,Shoulder,27,Non-Veg,Budget,2690480
Kerala,6,4,1,Flight,Off-Peak,14,Vegetarian,Budget,97940
Manali,11,1,4,Train,Off-Peak,4,Non-Veg,Luxury,123770
Udaipur,5,4,1,Flight,Shoulder,4,Fine Dining,Luxury,185900
Dubai,7,4,3,Flight,Peak,17,Non-Veg,Moderate,499130
Goa,10,3,4,Train,Peak,12,Street Food,Luxury,404810
Andaman,8,3,3,Flight,Off-Peak,16,Non-Veg,Budget,168680
Paris,4,8,1,Flight,Off-Peak,7,Street Food,Luxury,1689220
Andaman,5,5,2,Flight,Peak,15,Street Food,Moderate,226400
Paris,5,1,3,Flight,Shoulder,11,Vegetarian,Budget,163350
Singapore,11,4,4,Flight,Peak,22,Fine Dining,Budget,900650
Jaipur,13,2,4,Car,Off-Peak,39,Non-Veg,Moderate,191490
Rishikesh,7,5,4,Train,Off-Peak,12,Fine Dining,Moderate,295100
Udaipur,9,2,4,Bus,Shoulder,7,Fine Dining,Moderate,154090
Bali,5,3,1,Flight,Shoulder,9,Street Food,Moderate,235390
Varanasi,5,7,5,Bus,Shoulder,9,Fine Dining,Moderate,412130
Udaipur,13,8,4,Flight,Shoulder,11,Non-Veg,Luxury,1168230
Kerala,10,1,5,Flight,Peak,27,Vegetarian,Budget,239110
Dubai,5,2,2,Flight,Peak,4,Street Food,Moderate,134680
Dubai,12,8,4,Flight,Peak,1,Street Food,Budget,1076500
Paris,6,5,1,Flight,Off-Peak,14,Non-Veg,Budget,797130
Rishikesh,4,4,2,Train,Shoulder,6,Fine Dining,Moderate,95100
Andaman,9,4,2,Flight,Peak,21,Vegetarian,Budget,234620
Andaman,10,8,1,Train,Off-Peak,6,Vegetarian,Moderate,244380
Dubai,14,6,5,Flight,Peak,34,Vegetarian,Budget,2069000
Paris,11,8,3,Flight,Peak,5,Fine Dining,Luxury,2739180
Goa,4,6,1,Car,Off-Peak,3,Street Food,Budget,57160
Bali,5,7,5,Flight,Shoulder,7,Non-Veg,Luxury,1400860
Rishikesh,13,6,1,Flight,Peak,5,Fine Dining,Luxury,579480
Bali,8,6,1,Flight,Off-Peak,9,Street Food,Moderate,492220
Rishikesh,8,7,2,Train,Off-Peak,13,Vegetarian,Luxury,324860
Jaipur,13,2,1,Flight,Shoulder,10,Street Food,Moderate,68630
Manali,2,5,4,Flight,Shoulder,1,Non-Veg,Budget,73430
Udaipur,10,7,1,Flight,Shoulder,18,Vegetarian,Luxury,462180
Varanasi,8,1,3,Flight,Peak,24,Non-Veg,Luxury,95200
Dubai,8,3,2,Flight,Shoulder,10,Fine Dining,Moderate,333560
Kerala,8,5,4,Flight,Peak,12,Fine Dining,Budget,425670
Udaipur,11,4,4,Flight,Shoulder,1,Street Food,Moderate,295020
Andaman,14,6,4,Flight,Off-Peak,39,Non-Veg,Moderate,892780
Paris,5,8,3,Flight,Peak,7,Fine Dining,Moderate,1490460
Dubai,9,4,3,Flight,Shoulder,9,Street Food,Moderate,405120
Bali,5,3,5,Flight,Peak,12,Street Food,Luxury,714410
Singapore,6,2,4,Flight,Off-Peak,16,Non-Veg,Luxury,427710
Ladakh,12,3,4,Bus,Peak,29,Street Food,Luxury,680590
Rishikesh,13,7,5,Flight,Shoulder,35,Vegetarian,Budget,1065860
Dubai,12,6,2,Flight,Off-Peak,3,Street Food,Moderate,523730
Andaman,3,1,1,Flight,Off-Peak,9,Non-Veg,Moderate,30030
Udaipur,14,3,3,Car,Shoulder,7,Fine Dining,Moderate,311140
Manali,3,3,3,Flight,Shoulder,4,Street Food,Moderate,61920
Udaipur,13,8,3,Flight,Peak,8,Vegetarian,Moderate,576960
Dubai,14,3,2,Flight,Off-Peak,12,Non-Veg,Moderate,381660
Udaipur,5,7,2,Flight,Off-Peak,7,Street Food,Budget,155530
Jaipur,9,7,4,Flight,Peak,7,Fine Dining,Luxury,981180
Manali,11,2,5,Flight,Shoulder,13,Street Food,Budget,198100
Udaipur,10,6,5,Flight,Shoulder,19,Vegetarian,Moderate,800030
Udaipur,11,3,3,Car,Off-Peak,6,Non-Veg,Moderate,150790
Ladakh,3,3,3,Train,Off-Peak,7,Street Food,Luxury,86230
Andaman,8,3,4,Train,Off-Peak,21,Non-Veg,Luxury,379360
Ladakh,4,3,3,Bus,Off-Peak,1,Fine Dining,Budget,62450
Jaipur,8,8,4,Train,Shoulder,23,Street Food,Moderate,425890
Bali,2,4,3,Flight,Peak,3,Non-Veg,Luxury,389610
Singapore,9,8,5,Flight,Off-Peak,4,Vegetarian,Moderate,1686460
Varanasi,10,1,4,Train,Shoulder,4,Non-Veg,Moderate,88220
Goa,9,5,3,Bus,Peak,15,Vegetarian,Budget,222650
Paris,11,6,5,Flight,Off-Peak,28,Non-Veg,Luxury,3395100
Jaipur,5,1,5,Flight,Shoulder,10,Non-Veg,Moderate,100990
Ladakh,6,5,5,Car,Off-Peak,4,Non-Veg,Moderate,390480
Ladakh,12,3,2,Flight,Off-Peak,21,Non-Veg,Luxury,320780
Kerala,11,5,4,Flight,Peak,6,Street Food,Luxury,746320
Paris,7,8,4,Flight,Shoulder,19,Vegetarian,Luxury,2777170
Udaipur,12,6,1,Bus,Shoulder,14,Street Food,Budget,171350
Varanasi,6,6,5,Train,Off-Peak,16,Fine Dining,Luxury,540220
Goa,3,8,1,Flight,Peak,8,Street Food,Budget,148460
Andaman,5,3,3,Flight,Shoulder,2,Fine Dining,Moderate,123450
Dubai,12,3,1,Flight,Shoulder,20,Non-Veg,Moderate,394830
Paris,3,1,2,Flight,Shoulder,2,Non-Veg,Luxury,191980
Dubai,9,1,1,Flight,Off-Peak,11,Vegetarian,Moderate,99290
Udaipur,3,4,4,Flight,Peak,2,Fine Dining,Moderate,141210
Kerala,8,3,2,Flight,Off-Peak,1,Non-Veg,Moderate,94590
Jaipur,12,3,4,Train,Shoulder,14,Vegetarian,Budget,215520
Manali,11,7,3,Car,Shoulder,9,Non-Veg,Moderate,368540
Jaipur,10,5,1,Bus,Off-Peak,29,Fine Dining,Budget,251640
Rishikesh,5,7,3,Train,Peak,8,Street Food,Budget,155270
Dubai,11,2,5,Flight,Peak,24,Fine Dining,Budget,588870
Bali,8,6,5,Flight,Off-Peak,6,Street Food,Budget,697860
Manali,2,5,2,Flight,Peak,4,Fine Dining,Luxury,153700
Singapore,8,7,4,Flight,Peak,21,Non-Veg,Moderate,1497500
Manali,10,4,2,Train,Shoulder,19,Vegetarian,Moderate,167300
Paris,5,1,2,Flight,Peak,15,Street Food,Budget,170400
Bali,2,5,2,Flight,Peak,1,Non-Veg,Luxury,437620
Udaipur,7,5,2,Flight,Off-Peak,9,Vegetarian,Budget,141200
Andaman,6,2,3,Train,Off-Peak,3,Street Food,Moderate,47940
Goa,9,3,3,Flight,Peak,19,Vegetarian,Budget,179670
Goa,2,1,2,Flight,Shoulder,4,Non-Veg,Budget,16310
Goa,10,7,2,Flight,Shoulder,30,Fine Dining,Moderate,593380
Bali,7,2,5,Flight,Off-Peak,2,Non-Veg,Budget,231330
Goa,8,2,4,Bus,Shoulder,11,Vegetarian,Luxury,154130
Varanasi,5,5,5,Bus,Off-Peak,10,Non-Veg,Moderate,213940
Udaipur,14,4,5,Bus,Peak,10,Vegetarian,Moderate,790950
Rishikesh,7,1,3,Flight,Off-Peak,13,Fine Dining,Budget,52350
Jaipur,8,8,1,Car,Peak,23,Fine Dining,Budget,326280
Jaipur,10,7,3,Train,Off-Peak,3,Vegetarian,Luxury,322940
Andaman,3,1,4,Train,Peak,4,Fine Dining,Moderate,50270
Singapore,8,6,3,Flight,Shoulder,9,Non-Veg,Budget,696300
Kerala,14,2,2,Flight,Shoulder,30,Fine Dining,Moderate,182770
Varanasi,14,4,4,Flight,Shoulder,8,Vegetarian,Budget,268160
Ladakh,13,1,2,Bus,Shoulder,10,Vegetarian,Luxury,95610
Varanasi,8,1,3,Flight,Peak,1,Street Food,Moderate,49520
Rishikesh,5,2,4,Flight,Peak,2,Vegetarian,Budget,65110
Jaipur,4,4,4,Flight,Off-Peak,11,Vegetarian,Luxury,184590
Manali,2,2,2,Car,Shoulder,2,Vegetarian,Moderate,16800
Udaipur,2,3,5,Flight,Off-Peak,4,Street Food,Budget,65670
Andaman,4,6,2,Car,Shoulder,5,Street Food,Budget,96590
Bali,11,4,3,Flight,Shoulder,27,Street Food,Budget,467320
Andaman,4,7,2,Train,Off-Peak,4,Vegetarian,Moderate,129130
Varanasi,9,8,3,Car,Off-Peak,11,Street Food,Moderate,220190
Varanasi,11,4,1,Bus,Shoulder,4,Street Food,Luxury,106030
Bali,5,3,1,Flight,Peak,11,Non-Veg,Moderate,270560
Singapore,13,1,2,Flight,Off-Peak,25,Fine Dining,Budget,180990
Bali,7,6,5,Flight,Peak,12,Non-Veg,Luxury,1715170
Singapore,9,5,2,Flight,Shoulder,2,Vegetarian,Budget,418370
Jaipur,2,8,1,Flight,Off-Peak,2,Non-Veg,Moderate,113930
Singapore,7,1,1,Flight,Peak,19,Non-Veg,Budget,128300
Varanasi,3,6,4,Train,Shoulder,5,Fine Dining,Budget,117120
Paris,8,8,3,Flight,Peak,23,Fine Dining,Budget,1853570
Kerala,8,5,3,Flight,Off-Peak,1,Street Food,Luxury,227390
Bali,7,4,5,Flight,Peak,16,Non-Veg,Moderate,800000
